STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6310110,Probability and Statistics,Core Course,Specific Required Course
6310110,Discrete Mathematics,Core Course,Specific Required Course
6310110,Object-Oriented Programming,Major Required Course,Specific Required Course
6310110,English 2,Language Course,General Education Course 
6310110,Principles of Physics,Core Course,Specific Required Course
6310110,Microprocessor Applications,Major Required Course,Specific Required Course
6310110,Man and Society,Humanities Course,General Education Course 
6310110,English 3,Language Course,General Education Course 
6310110,Basic Bahasa Language,Major Elective Course,Major Elective Course
6310110,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6310110,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310110,Computer Networks,Major Required Course,Specific Required Course
6310110,Computer Architecture,Major Required Course,Specific Required Course
6310110,Database Systems,Major Required Course,Specific Required Course
6310110,Open Architecture and Environment,Major Elective Course,Specific Required Course
6310110,ASEAN Foods,Major Elective Course,Major Elective Course
6310110,Embedded Systems,Major Elective Course,Specific Required Course
6310110,Operating Systems,Major Required Course,Specific Required Course
6310110,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6310110,Ambient Intelligence,Major Elective Course,Specific Required Course
6310110,Parallel Processing,Major Required Course,Specific Required Course
6310110,Real Time Operating System,Major Elective Course,Specific Required Course
6310110,Italian 1,Major Elective Course,Major Elective Course
6310110,Introduction to Software Engineering,Major Required Course,Specific Required Course
6310110,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6310110,Senior Project 1,Major Required Course,Specific Required Course
6310110,Network System Security,Major Required Course,Specific Required Course
6310110,Embedded Application,Major Elective Course,Specific Required Course
6310110,Senior Project 2,Major Required Course,Specific Required Course
6310110,Co-operative Education,Major Required Course,Specific Required Course
6310310,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6310310,Engineering Drawing,Core Course,Specific Required Course
6310310,Electric Circuit Analysis,Core Course,Specific Required Course
6310310,Mathematics 1,Core Course,Specific Required Course
6310310,Intensive English,Major Elective Course,Major Elective Course
6310310,Thai Language Skills,Language Course,General Education Course 
6310310,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310310,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6310310,Computer Programming,Core Course,Specific Required Course
6310310,Digital Circuit and Logic Design,Core Course,Specific Required Course
6310310,Fundamental Electronics,Core Course,Specific Required Course
6310310,Mathematics 2,Core Course,Specific Required Course
6310310,Computer Engineering Application,Major Required Course,Specific Required Course
6310310,Discrete Mathematics,Core Course,Specific Required Course
6310310,Microprocessor and Assembly Language,Core Course,Specific Required Course
6310310,Data Communications and Networks,Major Required Course,Specific Required Course
6310310,English 2,Language Course,General Education Course 
6310310,Object-Oriented Programming,Major Required Course,Specific Required Course
6310310,Principles of Physics,Core Course,Specific Required Course
6310310,Computer Networks,Major Required Course,Specific Required Course
6310310,Microprocessor Applications,Major Required Course,Specific Required Course
6310310,Organization and Management,Social Science Course,General Education Course 
6310310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310310,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6310310,English 3,Language Course,General Education Course 
6311950,Chinese 1,Language Course,General Education Course 
6310310,Computer Architecture,Major Required Course,Specific Required Course
6310310,ASEAN Foods,Major Elective Course,Major Elective Course
6310310,Operating Systems,Major Required Course,Specific Required Course
6310310,Probability and Statistics,Core Course,Specific Required Course
6310310,Database Systems,Major Required Course,Specific Required Course
6310310,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6310310,Embedded Systems,Major Elective Course,Specific Required Course
6310310,Network System Security,Major Required Course,Specific Required Course
6310310,Introduction to Software Engineering,Major Required Course,Specific Required Course
6310310,Parallel Processing,Major Required Course,Specific Required Course
6310310,Senior Project 1,Major Required Course,Specific Required Course
6310310,Real Time Operating System,Major Elective Course,Specific Required Course
6310310,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6310310,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310310,ASEAN Studies,Social Science Course,General Education Course 
6310310,Introduction to Economics,Social Science Course,General Education Course 
6310310,French Conversation 1,Major Elective Course,Major Elective Course
6310310,Senior Project 2,Major Required Course,Specific Required Course
6310310,Man and Society,Humanities Course,General Education Course 
6310310,Co-operative Education,Major Required Course,Specific Required Course
6310410,Thai Language Skills,Language Course,General Education Course 
6310410,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6310410,Electric Circuit Analysis,Core Course,Specific Required Course
6310410,Mathematics 1,Core Course,Specific Required Course
6310410,Engineering Drawing,Core Course,Specific Required Course
6310410,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6310410,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310410,Computer Programming,Core Course,Specific Required Course
6310410,Digital Circuit and Logic Design,Core Course,Specific Required Course
6310410,Fundamental Electronics,Core Course,Specific Required Course
6310410,Computer Engineering Application,Major Required Course,Specific Required Course
6310410,Intensive English,Major Elective Course,Major Elective Course
6312150,Chinese 1,Language Course,General Education Course 
6310410,ASEAN Studies,Social Science Course,General Education Course 
6310410,Mathematics 1,Core Course,Specific Required Course
6310410,Organization and Management,Social Science Course,General Education Course 
6310410,Microprocessor and Assembly Language,Core Course,Specific Required Course
6310410,Data Communications and Networks,Major Required Course,Specific Required Course
6310410,Probability and Statistics,Core Course,Specific Required Course
6310410,Principles of Physics,Core Course,Specific Required Course
6310410,Object-Oriented Programming,Major Required Course,Specific Required Course
6310410,Computer Networks,Major Required Course,Specific Required Course
6310410,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6310410,Microprocessor Applications,Major Required Course,Specific Required Course
6310410,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310410,English 2,Language Course,General Education Course 
6310410,Mathematics 2,Core Course,Specific Required Course
6310410,Introduction to Economics,Social Science Course,General Education Course 
6310410,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6310410,Operating Systems,Major Required Course,Specific Required Course
6310410,Computer Architecture,Major Required Course,Specific Required Course
6310410,Ambient Intelligence,Major Elective Course,Specific Required Course
6310410,Discrete Mathematics,Core Course,Specific Required Course
6310410,Database Systems,Major Required Course,Specific Required Course
6310410,Network System Security,Major Required Course,Specific Required Course
6310410,Introduction to Software Engineering,Major Required Course,Specific Required Course
6310410,Parallel Processing,Major Required Course,Specific Required Course
6310410,Senior Project 1,Major Required Course,Specific Required Course
6310410,Real Time Operating System,Major Elective Course,Specific Required Course
6310410,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310410,English 2,Language Course,General Education Course 
6310410,Senior Project 2,Major Required Course,Specific Required Course
6310410,Open Architecture and Environment,Major Elective Course,Specific Required Course
6310410,Man and Society,Humanities Course,General Education Course 
6310410,English 3,Language Course,General Education Course 
6310410,Tobacco Consumption Therapy,Major Elective Course,Major Elective Course
6310410,Co-operative Education,Major Required Course,Specific Required Course
6310710,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6310710,Engineering Drawing,Core Course,Specific Required Course
6310710,Electric Circuit Analysis,Core Course,Specific Required Course
6310710,Mathematics 1,Core Course,Specific Required Course
6310710,Thai Language Skills,Language Course,General Education Course 
6310710,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310710,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6310710,Computer Programming,Core Course,Specific Required Course
6310710,Digital Circuit and Logic Design,Core Course,Specific Required Course
6310710,Fundamental Electronics,Core Course,Specific Required Course
6310710,Mathematics 2,Core Course,Specific Required Course
6310710,Computer Engineering Application,Major Required Course,Specific Required Course
6310710,Intensive English,Major Elective Course,Major Elective Course
6310710,Introduction to Economics,Social Science Course,General Education Course 
6310710,Organization and Management,Social Science Course,General Education Course 
6310710,ASEAN Studies,Social Science Course,General Education Course 
6312450,Chinese 1,Language Course,General Education Course 
6310710,Object-Oriented Programming,Major Required Course,Specific Required Course
6310710,Principles of Physics,Core Course,Specific Required Course
6310710,Probability and Statistics,Core Course,Specific Required Course
6310710,Discrete Mathematics,Core Course,Specific Required Course
6310710,Microprocessor and Assembly Language,Core Course,Specific Required Course
6310710,Data Communications and Networks,Major Required Course,Specific Required Course
6310710,English 2,Language Course,General Education Course 
6310710,Microprocessor Applications,Major Required Course,Specific Required Course
6310710,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310710,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6310710,Man and Society,Humanities Course,General Education Course 
6310710,Computer Networks,Major Required Course,Specific Required Course
6310710,Computer Architecture,Major Required Course,Specific Required Course
6310710,Ambient Intelligence,Major Elective Course,Specific Required Course
6310710,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6310710,Database Systems,Major Required Course,Specific Required Course
6310710,English 2,Language Course,General Education Course 
6310710,Operating Systems,Major Required Course,Specific Required Course
6310710,Network System Security,Major Required Course,Specific Required Course
6310710,Parallel Processing,Major Required Course,Specific Required Course
6310710,Senior Project 1,Major Required Course,Specific Required Course
6310710,Real Time Operating System,Major Elective Course,Specific Required Course
6310710,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6310710,Introduction to Software Engineering,Major Required Course,Specific Required Course
6310710,English 3,Language Course,General Education Course 
6310710,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310710,Senior Project 2,Major Required Course,Specific Required Course
6310710,Tobacco Consumption Therapy,Major Elective Course,Major Elective Course
6310710,Open Architecture and Environment,Major Elective Course,Specific Required Course
6310710,Web Design and Development,Major Elective Course,Major Elective Course
6310710,Co-operative Education,Major Required Course,Specific Required Course
6310910,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6310910,Engineering Drawing,Core Course,Specific Required Course
6310910,Electric Circuit Analysis,Core Course,Specific Required Course
6310910,Mathematics 1,Core Course,Specific Required Course
6310910,Intensive English,Major Elective Course,Major Elective Course
6310910,Thai Language Skills,Language Course,General Education Course 
6310910,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310910,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6310910,Computer Programming,Core Course,Specific Required Course
6310910,Digital Circuit and Logic Design,Core Course,Specific Required Course
6310910,Fundamental Electronics,Core Course,Specific Required Course
6310910,Mathematics 2,Core Course,Specific Required Course
6310910,Computer Engineering Application,Major Required Course,Specific Required Course
6310910,Microprocessor and Assembly Language,Core Course,Specific Required Course
6310910,Object-Oriented Programming,Major Required Course,Specific Required Course
6310910,Probability and Statistics,Core Course,Specific Required Course
6310910,Discrete Mathematics,Core Course,Specific Required Course
6310910,Principles of Physics,Core Course,Specific Required Course
6310910,Data Communications and Networks,Major Required Course,Specific Required Course
6310910,Computer Networks,Major Required Course,Specific Required Course
6310910,English 2,Language Course,General Education Course 
6310910,Organization and Management,Social Science Course,General Education Course 
6310910,Microprocessor Applications,Major Required Course,Specific Required Course
6310910,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6312850,Chinese 1,Language Course,General Education Course 
6310910,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310910,Introduction to Economics,Social Science Course,General Education Course 
6310910,Operating Systems,Major Required Course,Specific Required Course
6310910,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6310910,Computer Architecture,Major Required Course,Specific Required Course
6310910,English 3,Language Course,General Education Course 
6310910,ASEAN Studies,Social Science Course,General Education Course 
6310910,Database Systems,Major Required Course,Specific Required Course
6310910,Embedded Systems,Major Elective Course,Specific Required Course
6310910,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310910,Senior Project 1,Major Required Course,Specific Required Course
6310910,Network System Security,Major Required Course,Specific Required Course
6310910,Parallel Processing,Major Required Course,Specific Required Course
6310910,Real Time Operating System,Major Elective Course,Specific Required Course
6310910,Introduction to Software Engineering,Major Required Course,Specific Required Course
6310910,Embedded Application,Major Elective Course,Specific Required Course
6310910,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6310910,Man and Society,Humanities Course,General Education Course 
6310910,Korean 1,Major Elective Course,Major Elective Course
6310910,Senior Project 2,Major Required Course,Specific Required Course
6310910,Co-operative Education,Major Required Course,Specific Required Course
6311010,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311010,Engineering Drawing,Core Course,Specific Required Course
6311010,Electric Circuit Analysis,Core Course,Specific Required Course
6311010,Mathematics 1,Core Course,Specific Required Course
6311010,Intensive English,Major Elective Course,Major Elective Course
6311010,Thai Language Skills,Language Course,General Education Course 
6311010,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311010,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311010,Computer Programming,Core Course,Specific Required Course
6311010,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311010,Fundamental Electronics,Core Course,Specific Required Course
6311010,Mathematics 2,Core Course,Specific Required Course
6311010,Computer Engineering Application,Major Required Course,Specific Required Course
6311010,Introduction to Economics,Social Science Course,General Education Course 
6311010,ASEAN Studies,Social Science Course,General Education Course 
6311010,Organization and Management,Social Science Course,General Education Course 
6311010,Discrete Mathematics,Core Course,Specific Required Course
6311010,Principles of Physics,Core Course,Specific Required Course
6311010,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311010,Object-Oriented Programming,Major Required Course,Specific Required Course
6311010,Data Communications and Networks,Major Required Course,Specific Required Course
6311010,Computer Networks,Major Required Course,Specific Required Course
6311010,Microprocessor Applications,Major Required Course,Specific Required Course
6311010,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311010,English 2,Language Course,General Education Course 
6313150,Chinese 1,Language Course,General Education Course 
6311010,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311010,Probability and Statistics,Core Course,Specific Required Course
6311010,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311010,Computer Architecture,Major Required Course,Specific Required Course
6311010,Ambient Intelligence,Major Elective Course,Specific Required Course
6311010,Operating Systems,Major Required Course,Specific Required Course
6311010,English 3,Language Course,General Education Course 
6311010,Database Systems,Major Required Course,Specific Required Course
6311010,Senior Project 1,Major Required Course,Specific Required Course
6311010,Real Time Operating System,Major Elective Course,Specific Required Course
6311010,Network System Security,Major Required Course,Specific Required Course
6311010,Principles of Crop Produces,Major Elective Course,Major Elective Course
6311010,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311010,Parallel Processing,Major Required Course,Specific Required Course
6311010,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6311010,Embedded Application,Major Elective Course,Specific Required Course
6311010,Senior Project 2,Major Required Course,Specific Required Course
6311010,Man and Society,Humanities Course,General Education Course 
6311010,Co-operative Education,Major Required Course,Specific Required Course
6311210,Thai Language Skills,Language Course,General Education Course 
6311210,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311210,Electric Circuit Analysis,Core Course,Specific Required Course
6311210,Mathematics 1,Core Course,Specific Required Course
6311210,Engineering Drawing,Core Course,Specific Required Course
6311210,Intensive English,Major Elective Course,Major Elective Course
6311210,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311210,Computer Programming,Core Course,Specific Required Course
6311210,Fundamental Electronics,Core Course,Specific Required Course
6311210,Mathematics 2,Core Course,Specific Required Course
6311210,Computer Engineering Application,Major Required Course,Specific Required Course
6311210,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311210,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311210,Organization and Management,Social Science Course,General Education Course 
6311210,Introduction to Economics,Social Science Course,General Education Course 
6311210,ASEAN Studies,Social Science Course,General Education Course 
6311210,Discrete Mathematics,Core Course,Specific Required Course
6311210,Principles of Physics,Core Course,Specific Required Course
6311210,Data Communications and Networks,Major Required Course,Specific Required Course
6311210,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311210,Object-Oriented Programming,Major Required Course,Specific Required Course
6311210,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311210,English 2,Language Course,General Education Course 
6311210,Microprocessor Applications,Major Required Course,Specific Required Course
6311210,Computer Networks,Major Required Course,Specific Required Course
6313450,Chinese 1,Language Course,General Education Course 
6311210,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311210,Database Systems,Major Required Course,Specific Required Course
6311210,Probability and Statistics,Core Course,Specific Required Course
6311210,Operating Systems,Major Required Course,Specific Required Course
6311210,Computer Architecture,Major Required Course,Specific Required Course
6311210,English 2,Language Course,General Education Course 
6311210,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311210,Ambient Intelligence,Major Elective Course,Specific Required Course
6311210,Principles of Crop Produces,Major Elective Course,Major Elective Course
6311210,Parallel Processing,Major Required Course,Specific Required Course
6311210,Network System Security,Major Required Course,Specific Required Course
6311210,English 3,Language Course,General Education Course 
6311210,Senior Project 1,Major Required Course,Specific Required Course
6311210,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311210,Real Time Operating System,Major Elective Course,Specific Required Course
6311210,Senior Project 2,Major Required Course,Specific Required Course
6311210,Embedded Application,Major Elective Course,Specific Required Course
6311210,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6311210,Man and Society,Humanities Course,General Education Course 
6311210,Co-operative Education,Major Required Course,Specific Required Course
6311310,Electric Circuit Analysis,Core Course,Specific Required Course
6311310,Thai Language Skills,Language Course,General Education Course 
6311310,Intensive English,Major Elective Course,Major Elective Course
6311310,Mathematics 1,Core Course,Specific Required Course
6311310,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311310,Engineering Drawing,Core Course,Specific Required Course
6311310,Fundamental Electronics,Core Course,Specific Required Course
6311310,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311310,Computer Programming,Core Course,Specific Required Course
6311310,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311310,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311310,Mathematics 2,Core Course,Specific Required Course
6311310,Computer Engineering Application,Major Required Course,Specific Required Course
6313550,Chinese 1,Language Course,General Education Course 
6311310,Organization and Management,Social Science Course,General Education Course 
6311310,ASEAN Studies,Social Science Course,General Education Course 
6311310,Introduction to Economics,Social Science Course,General Education Course 
6311310,Discrete Mathematics,Core Course,Specific Required Course
6311310,Probability and Statistics,Core Course,Specific Required Course
6311310,English 2,Language Course,General Education Course 
6311310,Principles of Physics,Core Course,Specific Required Course
6311310,Object-Oriented Programming,Major Required Course,Specific Required Course
6311310,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311310,Data Communications and Networks,Major Required Course,Specific Required Course
6311310,Basic Bahasa Language,Major Elective Course,Major Elective Course
6311310,Computer Networks,Major Required Course,Specific Required Course
6311310,Man and Society,Humanities Course,General Education Course 
6311310,Microprocessor Applications,Major Required Course,Specific Required Course
6311310,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311310,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311310,English 3,Language Course,General Education Course 
6311310,Database Systems,Major Required Course,Specific Required Course
6311310,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311310,Computer Architecture,Major Required Course,Specific Required Course
6311310,Operating Systems,Major Required Course,Specific Required Course
6311310,ASEAN Foods,Major Elective Course,Major Elective Course
6311310,Embedded Systems,Major Elective Course,Specific Required Course
6311310,Ambient Intelligence,Major Elective Course,Specific Required Course
6311310,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311310,Parallel Processing,Major Required Course,Specific Required Course
6311310,Real Time Operating System,Major Elective Course,Specific Required Course
6311310,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6311310,Network System Security,Major Required Course,Specific Required Course
6311310,Senior Project 1,Major Required Course,Specific Required Course
6311310,Human Relations,Major Elective Course,Major Elective Course
6311310,Open Architecture and Environment,Major Elective Course,Specific Required Course
6311310,Senior Project 2,Major Required Course,Specific Required Course
6311310,Co-operative Education,Major Required Course,Specific Required Course
6311510,Engineering Drawing,Core Course,Specific Required Course
6311510,Thai Language Skills,Language Course,General Education Course 
6311510,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311510,Electric Circuit Analysis,Core Course,Specific Required Course
6311510,Mathematics 1,Core Course,Specific Required Course
6311510,Intensive English,Major Elective Course,Major Elective Course
6311510,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311510,Computer Programming,Core Course,Specific Required Course
6311510,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311510,Fundamental Electronics,Core Course,Specific Required Course
6311510,Mathematics 2,Core Course,Specific Required Course
6311510,Computer Engineering Application,Major Required Course,Specific Required Course
6311510,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311510,Organization and Management,Social Science Course,General Education Course 
6313650,Chinese 1,Language Course,General Education Course 
6311510,Introduction to Economics,Social Science Course,General Education Course 
6311510,ASEAN Studies,Social Science Course,General Education Course 
6311510,Data Communications and Networks,Major Required Course,Specific Required Course
6311510,Discrete Mathematics,Core Course,Specific Required Course
6311510,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311510,Principles of Physics,Core Course,Specific Required Course
6311510,Object-Oriented Programming,Major Required Course,Specific Required Course
6311510,Man and Society,Humanities Course,General Education Course 
6311510,English 2,Language Course,General Education Course 
6311510,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311510,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311510,Microprocessor Applications,Major Required Course,Specific Required Course
6311510,Computer Networks,Major Required Course,Specific Required Course
6311510,Embedded Systems,Major Elective Course,Specific Required Course
6311510,Database Systems,Major Required Course,Specific Required Course
6311510,Operating Systems,Major Required Course,Specific Required Course
6311510,ASEAN Foods,Major Elective Course,Major Elective Course
6311510,Computer Architecture,Major Required Course,Specific Required Course
6311510,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311510,Probability and Statistics,Core Course,Specific Required Course
6311510,English 2,Language Course,General Education Course 
6311510,English 3,Language Course,General Education Course 
6311510,Network System Security,Major Required Course,Specific Required Course
6311510,Senior Project 1,Major Required Course,Specific Required Course
6311510,Real Time Operating System,Major Elective Course,Specific Required Course
6311510,Parallel Processing,Major Required Course,Specific Required Course
6311510,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311510,Embedded Application,Major Elective Course,Specific Required Course
6311510,Human Relations,Major Elective Course,Major Elective Course
6311510,Senior Project 2,Major Required Course,Specific Required Course
6311510,Co-operative Education,Major Required Course,Specific Required Course
6311610,Thai Language Skills,Language Course,General Education Course 
6311610,Engineering Drawing,Core Course,Specific Required Course
6311610,Electric Circuit Analysis,Core Course,Specific Required Course
6311610,Mathematics 1,Core Course,Specific Required Course
6311610,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311610,Intensive English,Major Elective Course,Major Elective Course
6311610,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311610,Computer Programming,Core Course,Specific Required Course
6311610,Fundamental Electronics,Core Course,Specific Required Course
6311610,Mathematics 2,Core Course,Specific Required Course
6311610,Computer Engineering Application,Major Required Course,Specific Required Course
6311610,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311610,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311610,Object-Oriented Programming,Major Required Course,Specific Required Course
6311610,Principles of Physics,Core Course,Specific Required Course
6311610,Data Communications and Networks,Major Required Course,Specific Required Course
6311610,Discrete Mathematics,Core Course,Specific Required Course
6311610,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311610,Microprocessor Applications,Major Required Course,Specific Required Course
6313850,Chinese 1,Language Course,General Education Course 
6311610,Organization and Management,Social Science Course,General Education Course 
6311610,English 2,Language Course,General Education Course 
6311610,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311610,Data Structures and Algorithms,Major Required Course,Specific Required Course
6311610,Computer Networks,Major Required Course,Specific Required Course
6311610,Database Systems,Major Required Course,Specific Required Course
6311610,Probability and Statistics,Core Course,Specific Required Course
6311610,English 2,Language Course,General Education Course 
6311610,Operating Systems,Major Required Course,Specific Required Course
6311610,Ambient Intelligence,Major Elective Course,Specific Required Course
6311610,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311610,Computer Architecture,Major Required Course,Specific Required Course
6311610,ASEAN Studies,Social Science Course,General Education Course 
6311610,English 3,Language Course,General Education Course 
6311610,Principles of Crop Produces,Major Elective Course,Major Elective Course
6311610,Real Time Operating System,Major Elective Course,Specific Required Course
6311610,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311610,Parallel Processing,Major Required Course,Specific Required Course
6311610,Network System Security,Major Required Course,Specific Required Course
6311610,Senior Project 1,Major Required Course,Specific Required Course
6311610,Introduction to Economics,Social Science Course,General Education Course 
6311610,Senior Project 2,Major Required Course,Specific Required Course
6311610,Embedded Application,Major Elective Course,Specific Required Course
6311610,Environment and Development,Major Elective Course,Major Elective Course
6311610,Man and Society,Humanities Course,General Education Course 
6311610,Co-operative Education,Major Required Course,Specific Required Course
6311710,Mathematics 1,Core Course,Specific Required Course
6311710,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311710,Electric Circuit Analysis,Core Course,Specific Required Course
6311710,Engineering Drawing,Core Course,Specific Required Course
6311710,Thai Language Skills,Language Course,General Education Course 
6311710,Mathematics 2,Core Course,Specific Required Course
6311710,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311710,Fundamental Electronics,Core Course,Specific Required Course
6311710,Intensive English,Major Elective Course,Major Elective Course
6311710,Computer Programming,Core Course,Specific Required Course
6311710,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311710,Computer Engineering Application,Major Required Course,Specific Required Course
6311710,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311710,Object-Oriented Programming,Major Required Course,Specific Required Course
6311710,Data Communications and Networks,Major Required Course,Specific Required Course
6311710,Microprocessor and Assembly Language,Core Course,Specific Required Course
6311710,Discrete Mathematics,Core Course,Specific Required Course
6311710,Principles of Physics,Core Course,Specific Required Course
6311710,Microprocessor Applications,Major Required Course,Specific Required Course
6311710,Data Structures and Algorithms,Major Required Course,Specific Required Course
6313950,Chinese 1,Language Course,General Education Course 
6311710,Organization and Management,Social Science Course,General Education Course 
6311710,English 2,Language Course,General Education Course 
6311710,Special Project in Computer Engineering,Major Required Course,Specific Required Course
6311710,Computer Networks,Major Required Course,Specific Required Course
6311710,Database Systems,Major Required Course,Specific Required Course
6311710,Seminar in Computer Engineering,Major Required Course,Specific Required Course
6311710,Embedded Systems,Major Elective Course,Specific Required Course
6311710,Probability and Statistics,Core Course,Specific Required Course
6311710,Computer Architecture,Major Required Course,Specific Required Course
6311710,English 2,Language Course,General Education Course 
6311710,Operating Systems,Major Required Course,Specific Required Course
6311710,ASEAN Studies,Social Science Course,General Education Course 
6311710,English 3,Language Course,General Education Course 
6311710,Sensors and Sensor Networks,Major Elective Course,Specific Required Course
6311710,Senior Project 1,Major Required Course,Specific Required Course
6311710,Parallel Processing,Major Required Course,Specific Required Course
6311710,Introduction to Software Engineering,Major Required Course,Specific Required Course
6311710,Network System Security,Major Required Course,Specific Required Course
6311710,Introduction to Economics,Social Science Course,General Education Course 
6311710,Japanese 1,Major Elective Course,Major Elective Course
6311710,Man and Society,Humanities Course,General Education Course 
6311710,Environment and Development,Major Elective Course,Major Elective Course
6311710,Embedded Application,Major Elective Course,Specific Required Course
6311710,Senior Project 2,Major Required Course,Specific Required Course
6311710,Co-operative Education,Major Required Course,Specific Required Course
6311810,Electric Circuit Analysis,Core Course,Specific Required Course
6311810,Electric Circuits and Electronics Laboratory,Core Course,Specific Required Course
6311810,Mathematics 1,Core Course,Specific Required Course
6311810,Engineering Drawing,Core Course,Specific Required Course
6311810,Intensive English,Major Elective Course,Major Elective Course
6311810,Thai Language Skills,Language Course,General Education Course 
6311810,Basic Information Technology,Science and Mathematics Course,General Education Course 
6311810,Computer Programming,Core Course,Specific Required Course
6311810,Digital Circuit and Logic Design,Core Course,Specific Required Course
6311810,Fundamental Electronics,Core Course,Specific Required Course
6311810,Mathematics 2,Core Course,Specific Required Course
6311810,Digital and Computer Systems Laboratory,Core Course,Specific Required Course
6311810,Computer Engineering Application,Major Required Course,Specific Required Course
